class,bruise_bleed,has_ring,season,habitat,cap_diameter,cap_shape,cap_color,gill_color,stem_height,stem_width,stem_color
0,0,1,3,woods,15.26,convex,orange,white,16.95,17.09,white
0,0,1,1,woods,16.6,convex,orange,white,17.99,18.19,white
0,0,1,3,woods,14.07,convex,orange,white,17.8,17.74,white
0,0,1,3,woods,14.17,flat,red,white,15.77,15.98,white
0,0,1,3,woods,14.64,convex,orange,white,16.53,17.2,white
0,0,1,1,woods,15.34,convex,orange,white,17.84,18.79,white
0,0,1,3,woods,14.85,flat,orange,white,17.71,16.89,white
0,0,1,1,woods,14.86,convex,red,white,17.03,17.44,white
0,0,1,2,woods,12.85,flat,orange,white,17.27,18.69,white
0,0,1,3,woods,13.55,flat,red,white,16.04,16.88,white
0,0,1,2,woods,14.17,flat,red,white,17.86,18.02,white
0,0,1,1,woods,13.4,convex,orange,white,17.95,17.14,white
0,0,1,1,woods,17.37,convex,orange,white,18.1,18.27,white
0,0,1,1,woods,16.56,convex,orange,white,18.89,18.11,white
0,0,1,2,woods,15.37,convex,red,white,18.19,18.38,white
0,0,1,2,woods,15.54,flat,red,white,18.26,17.87,white
0,0,1,2,woods,15.19,convex,red,white,17.42,17.67,white
0,0,1,2,woods,17.4,convex,orange,white,18.48,18.54,white
0,0,1,3,woods,16.16,convex,orange,white,19.46,18.9,white
0,0,1,1,woods,16.93,convex,red,white,18.31,17.81,white
0,0,1,3,woods,13.0,flat,red,white,17.3,17.19,white
0,0,1,1,woods,13.06,convex,red,white,16.9,17.38,white
0,0,1,3,woods,17.23,convex,orange,white,17.63,17.92,white
0,0,1,3,woods,14.39,convex,red,white,16.98,17.48,white
0,0,1,1,woods,15.56,flat,orange,white,17.28,16.99,white
0,0,1,3,woods,13.2,convex,orange,white,16.91,16.9,white
0,0,1,1,woods,13.9,flat,red,white,17.81,17.77,white
0,0,1,1,woods,16.38,flat,orange,white,18.36,17.99,white
0,0,1,2,woods,13.3,convex,red,white,17.6,17.52,white
0,0,1,3,woods,15.95,flat,orange,white,16.42,16.65,white
0,0,1,2,woods,16.58,convex,orange,white,18.26,18.12,white
0,0,1,1,woods,14.1,flat,orange,white,16.94,16.76,white
0,0,1,2,woods,13.81,flat,orange,white,17.22,17.11,white
0,0,1,2,woods,14.67,flat,orange,white,17.2,16.77,white
0,0,1,1,woods,14.23,flat,red,white,17.22,17.23,white
0,0,1,1,woods,14.78,flat,red,white,17.44,17.13,white
0,0,1,3,woods,15.08,convex,red,white,17.09,17.8,white
0,0,1,1,woods,16.0,convex,red,white,16.96,17.22,white
0,0,1,2,woods,14.76,flat,orange,white,18.14,17.54,white
0,0,1,3,woods,14.89,convex,red,white,17.78,18.07,white
0,0,1,3,woods,13.05,flat,red,white,17.32,17.17,white
0,0,1,3,woods,13.03,flat,red,white,17.05,17.07,white
0,0,1,3,woods,14.07,flat,orange,white,16.98,17.76,white
0,0,1,2,woods,15.09,flat,orange,white,17.45,18.15,white
0,0,1,3,woods,12.22,flat,orange,white,18.19,17.62,white
0,0,1,2,woods,15.12,convex,red,white,17.03,17.2,white
0,0,1,3,woods,18.04,flat,red,white,18.86,19.79,white
0,0,1,3,woods,12.27,flat,orange,white,16.15,17.17,white
0,0,1,1,woods,16.03,flat,orange,white,19.34,19.37,white
0,0,1,3,woods,16.51,convex,orange,white,18.38,18.29,white
0,0,1,3,woods,14.96,flat,orange,white,18.26,18.28,white
0,0,1,3,woods,15.9,flat,red,white,17.34,17.54,white
0,0,1,1,woods,15.48,convex,red,white,19.22,18.14,white
0,0,1,2,woods,15.63,flat,orange,white,17.72,16.82,white
0,0,1,3,woods,14.8,convex,orange,white,17.94,17.42,white
0,0,1,3,woods,16.0,convex,orange,white,17.67,17.96,white
0,0,1,1,woods,15.07,flat,orange,white,16.97,17.51,white
0,0,1,2,woods,13.12,convex,red,white,17.96,17.89,white
0,0,1,1,woods,13.82,flat,orange,white,16.86,17.14,white
0,0,1,1,woods,17.23,convex,red,white,18.51,18.59,white
0,0,1,2,woods,12.57,convex,orange,white,16.62,15.7,white
0,0,1,2,woods,14.85,convex,orange,white,17.36,16.46,white
0,0,1,1,woods,12.55,convex,red,white,16.97,17.39,white
0,0,1,2,woods,13.53,convex,red,white,16.65,16.91,white
0,0,1,3,woods,16.84,convex,red,white,17.3,17.27,white
0,0,1,1,woods,15.73,convex,orange,white,17.58,17.59,white
0,0,1,3,woods,11.46,convex,orange,white,17.56,18.39,white
0,0,1,3,woods,15.06,flat,orange,white,15.77,16.1,white
0,0,1,2,woods,16.15,convex,red,white,18.25,17.67,white
0,0,1,3,woods,13.78,flat,orange,white,17.18,17.6,white
0,0,1,1,woods,16.77,flat,red,white,18.81,19.23,white
0,0,1,1,woods,17.32,flat,orange,white,17.67,17.83,white
0,0,1,1,woods,18.65,convex,red,white,18.6,19.03,white
0,0,1,1,woods,14.11,flat,red,white,16.87,16.23,white
0,0,1,1,woods,16.25,flat,orange,white,17.32,17.6,white
0,0,1,3,woods,13.59,convex,orange,white,18.58,18.87,white
0,0,1,1,woods,17.3,flat,orange,white,17.39,18.35,white
0,0,1,2,woods,12.13,flat,red,white,16.66,16.62,white
0,0,1,2,woods,12.29,convex,red,white,16.45,15.65,white
0,0,1,3,woods,14.74,convex,orange,white,16.8,17.46,white
0,0,1,1,woods,15.13,flat,red,white,17.81,17.24,white
0,0,1,1,woods,13.66,flat,orange,white,16.21,16.65,white
0,0,1,3,woods,13.3,convex,red,white,17.75,17.19,white
0,0,1,3,woods,14.16,flat,orange,white,15.26,16.19,white
0,0,1,2,woods,16.66,convex,orange,white,18.73,18.47,white
0,0,1,2,woods,15.55,flat,red,white,17.03,17.84,white
0,0,1,2,woods,14.28,flat,red,white,17.55,17.58,white
0,0,1,3,woods,16.92,convex,red,white,18.3,18.81,white
0,0,1,3,woods,15.55,convex,red,white,16.75,16.97,white
0,0,1,1,woods,15.08,convex,orange,white,17.51,16.82,white
0,0,1,2,woods,12.02,flat,orange,white,16.16,16.61,white
0,0,1,1,woods,13.69,flat,red,white,16.58,15.84,white
0,0,1,2,woods,15.36,flat,orange,white,17.53,15.97,white
0,0,1,1,woods,15.22,flat,orange,white,16.87,17.46,white
0,0,1,2,woods,15.49,flat,red,white,17.45,16.64,white
0,0,1,1,woods,12.16,convex,red,white,17.46,17.51,white
0,0,1,1,woods,16.04,flat,orange,white,17.39,17.19,white
0,0,1,1,woods,16.31,flat,red,white,17.15,17.05,white
0,0,1,1,woods,15.35,flat,orange,white,17.89,18.21,white
0,0,1,2,woods,11.17,convex,orange,white,16.44,16.12,white
0,0,1,1,woods,13.74,convex,red,white,16.7,15.79,white
0,0,1,2,woods,14.62,flat,red,white,16.07,17.02,white
0,0,1,3,woods,13.14,flat,orange,white,16.99,18.05,white
0,0,1,3,woods,15.53,convex,orange,white,18.06,17.37,white
0,0,1,2,woods,17.08,convex,orange,white,17.79,18.79,white
0,0,1,1,woods,17.09,convex,orange,white,19.19,18.89,white
0,0,1,3,woods,15.31,convex,orange,white,16.19,17.04,white
0,0,1,1,woods,16.11,flat,red,white,17.91,17.88,white
0,0,1,2,woods,14.96,convex,orange,white,17.92,17.51,white
0,0,1,1,woods,16.12,convex,red,white,17.98,16.93,white
0,0,1,3,woods,14.19,flat,orange,white,17.83,18.3,white
0,0,1,3,woods,15.67,convex,orange,white,19.25,19.52,white
0,0,1,2,woods,11.35,convex,red,white,16.96,15.39,white
0,0,1,1,woods,14.52,convex,orange,white,17.04,17.57,white
0,0,1,2,woods,14.41,flat,orange,white,17.1,16.96,white
